,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-0.2,-0.488,0.0,-0.2,-0.488,-0.488,-0.9141006540800001
1,-0.5228534417326081,-0.313364035141632,-0.6908834783232001,-1.1177537882567476,-0.9620005176226611,-1.1512647625792434,-1.2259732840545516
2,-5.575186299632657e-06,0.0,-2.6584559915698328e-05,0.0,-0.013743895347200002,0.0,0.0
3,0.0,-0.2,0.0,0.0,-0.36000000000000004,0.0,-0.488
4,-0.82208,-0.57632,-1.078850048,-1.2036096204800002,-1.27536308895744,-1.1350537216,-1.0967806976000003
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.2,0.0
7,-0.2,-0.4224,-0.5904,-0.648,-0.8159360000000001,-0.6684800000000001,-0.9501956186112002
8,-0.0009444732965739292,0.0,0.0,0.0,-0.128,0.0,0.0
