,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-0.2,-0.2,0.0,-0.2,-0.2,-0.36000000000000004,-0.36000000000000004
1,-0.488,-0.2,-0.36000000000000004,-0.8159360000000001,-0.7902848,-0.9233822720000001,-0.8478848000000001
2,-0.010995116277760002,0.0,-0.0003868562622766814,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,-0.36000000000000004
4,-0.39200000000000007,-0.2,-0.6684800000000001,-0.7299200000000001,-0.5667840000000001,-0.52,-0.57632
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.2,-0.2,-0.36000000000000004,-0.36000000000000004,0.0,0.0,-0.36000000000000004
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
