,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-0.36000000000000004,-0.5904,0.0,-0.36000000000000004,-0.488,-0.95601953488896,-0.9993661746998859
1,-0.40256619121240067,-0.7447236545109173,-1.060754316283138,-1.2936111821135734,-1.1442545161158455,-1.3230334879726329,-1.3244762243306698
2,-1.6687398718132126e-11,-0.0001014120480182584,-4.113761393303017e-08,0.0,-0.0009444732965739292,0.0,0.0
3,0.0,-0.2,0.0,0.0,-0.36000000000000004,0.0,-0.7378560000000001
4,-1.5166024437301353,-1.7902903785934146,-2.0855339061092124,-2.1205549958472933,-2.0684751377972432,-2.1624624549799902,-2.1491521597123424
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.36000000000000004,-0.2
7,-0.2,-1.0966406424494082,-1.1521942141283499,-1.11601953488896,-0.8159360000000001,-1.1547927350237113,-1.1562205002646269
8,-1.3479973333575328e-08,-0.16,0.0,-0.04194304000000001,-1.0889035741470034e-05,0.0,-0.04194304000000001
