,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-0.2,-0.5904,0.0,-0.36000000000000004,-0.488,-0.931280523264,-0.9926213023705162
1,-0.41933978251291737,-0.6815418899272806,-0.9920749388513391,-1.271263436928108,-1.0964501886422233,-1.3278273891737855,-1.3215853240106363
2,-5.5213970774324535e-09,-0.0018446744073709553,-3.0649910817317794e-07,0.0,-0.0018446744073709553,0.0,0.0
3,0.0,-0.2,0.0,0.0,-0.36000000000000004,0.0,-0.67232
4,-1.5797942122188908,-1.3225538140120736,-1.774678556219772,-1.825202299135072,-1.7347121540573764,-1.9496718551962364,-1.88258761403382
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2
7,-0.2,-1.0610010038272002,-1.1018423632409398,-1.0257822720000003,-0.8159360000000001,-1.0842243214934018,-1.1526181645793494
8,-3.0649910817317794e-07,0.0,0.0,0.0,-0.0006044629098073147,0.0,0.0
