,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-0.2,-0.36000000000000004,0.0,-0.2,-0.36000000000000004,-0.488,-0.865782272
1,-0.44943155199999996,-0.34002173952,-0.6908834783232001,-0.9790518239232,-0.88982784,-1.10258843959296,-1.13150192664576
2,-0.00030948500982134515,0.0,-8.112963841460672e-05,0.0,-0.05242880000000001,0.0,0.0
3,0.0,-0.2,0.0,0.0,-0.2,0.0,-0.488
4,-0.82208,-0.39200000000000007,-0.9007232000000001,-0.8159360000000001,-0.8356377600000001,-0.9072768,-0.7864448000000002
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.2,-0.36000000000000004,-0.5904,-0.36000000000000004,-0.488,0.0,-0.7902848
8,-0.021474836480000006,0.0,0.0,0.0,0.0,0.0,0.0
