,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,0.0,-0.488,-0.2,-0.2,-0.8926258176
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.7378560000000001
2,-0.0007555786372591434,-0.0007555786372591434,-0.017179869184000003,-0.1024,-0.04194304000000001,-0.08192,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.2,0.0,-0.2,0.0,-0.67232,-0.9994929397599087
7,0.0,0.0,0.0,0.0,0.0,-0.36000000000000004,-0.9884707849539315
8,-0.3467923894856561,-0.4113040445880463,-0.31641242682245424,-0.3406285384694151,-0.2803550532879246,-0.09958883394608195,-0.7339462001268152
