,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.9993661746998859
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.81170065408
2,-1.3479973333575328e-08,-1.0783978666860262e-08,-3.568119231764901e-06,-0.0001014120480182584,-0.0006044629098073147,-0.002305843009213694,0.0
3,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.36000000000000004,-0.36000000000000004,-0.2,-0.36000000000000004,-0.9994929397599087,-0.9999999987858319
7,0.0,0.0,0.0,0.0,0.0,-0.5904,-0.9926213023705162
8,-0.38026227630634013,-0.4110301242304383,-0.35054776973972135,-0.30272601785784964,-0.30102795794129933,-0.21118050057686333,-0.39714716540323103
