,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,0.0,-0.36000000000000004,-0.2,-0.2,-0.488
1,0.0,0.0,0.0,-0.2,0.0,0.0,-0.2
2,-0.013743895347200002,-0.007036874417766401,-0.08192,0.0,-0.16,-0.128,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,-0.2,0.0,-0.5904,-0.9969776854509634
7,0.0,0.0,0.0,0.0,0.0,-0.36000000000000004,-0.9855884811924144
8,-0.2920398932464026,-0.33948501916952406,-0.2865834225654684,-0.2574447380289352,-0.24936871482592687,-0.32311115969247495,-0.16657025579121926
