,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.9648156279111679
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.63222784
2,-2.126764793255866e-05,-2.6584559915698328e-05,-0.0009444732965739292,-0.013743895347200002,-0.017179869184000003,-0.013743895347200002,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.2,-0.36000000000000004,-0.2,0.0,-0.931280523264,-0.9999908656147667
7,0.0,0.0,0.0,0.0,0.0,-0.5904,-0.9907766279631451
8,-0.4102743961873605,-0.38576021276218664,-0.3312990481704045,-0.28368179872688204,-0.26646634106872136,-0.16540248993963125,-0.5730971623441574
