,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.9998670772004215
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.81170065408
2,-1.5541351137805845e-10,-4.742843975160474e-10,-1.9615942923083387e-07,-6.968982874540821e-06,-0.00012676506002282299,-0.0011805916207174114,0.0
3,0.0,0.0,0.0,-0.2,-0.2,0.0,-0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.2,-0.36000000000000004,-0.36000000000000004,-0.2,-0.52,-1.1075363550856274,-1.0944639999726593
7,0.0,0.0,0.0,0.0,0.0,-0.67232,-0.9926213023705162
8,-0.3769209998135008,-0.2939365054099072,-0.38320975703015503,-0.2361488737759162,-0.2796839288156321,-0.05726209831770411,-0.9100876163907015
