,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.9998338465005269
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.81170065408
2,-2.428336115282163e-10,-5.928554968950593e-10,-1.9615942923083387e-07,-1.3611294676837543e-05,-0.00015845632502852874,-0.0011805916207174114,0.0
3,0.0,0.0,0.0,-0.2,-0.2,0.0,-0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.2,-0.36000000000000004,-0.36000000000000004,-0.2,-0.52,-1.0780255548212927,-1.0780799999658242
7,0.0,0.0,0.0,0.0,0.0,-0.67232,-0.9926213023705162
8,-0.45131620207109613,-0.3436740533848001,-0.38320975703015503,-0.30465340693193765,-0.32572597019723953,-0.14320631055927943,-0.721160777176193
