,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,0.0,-0.2,-0.2,-0.2,-0.36000000000000004
1,0.0,0.0,0.0,-0.2,0.0,0.0,-0.2
2,-0.021474836480000006,-0.010995116277760002,-0.1024,0.0,-0.16,-0.16,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.5904,-0.865782272
7,0.0,0.0,0.0,0.0,0.0,-0.36000000000000004,-0.7902848
8,-0.3485219900261859,-0.2848844676259327,-0.27178597343124405,-0.3097682915041978,-0.2605013434952358,-0.12558612049614246,-0.2230956209856819
