,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.9997923081256586
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.81170065408
2,-5.928554968950593e-10,-9.263367138985301e-10,-4.789048565205905e-07,-3.323069989462291e-05,-0.00015845632502852874,-0.0011805916207174114,0.0
3,0.0,0.0,0.0,-0.2,-0.2,0.0,-0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.2,-0.36000000000000004,-0.36000000000000004,-0.2,-0.36000000000000004,-1.0575319435266157,-1.0319999999466003
7,0.0,0.0,0.0,0.0,0.0,-0.67232,-0.9926213023705162
8,-0.4519981043884212,-0.35786585792924985,-0.38102632155980504,-0.296411468690124,-0.3031647005663214,-0.2457028095181093,-0.5054255578382179
