,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.36000000000000004,-0.2,-0.981985601490518
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.705782272
2,-6.968982874540821e-06,-6.968982874540821e-06,-0.00048357032784585176,-0.003602879701896397,-0.017179869184000003,-0.00562949953421312,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.36000000000000004,-0.36000000000000004,-0.2,0.0,-0.95601953488896,-0.9999976054757174
7,0.0,0.0,0.0,0.0,0.0,-0.5904,-0.9907766279631451
8,-0.37326028402064915,-0.4265091749236286,-0.3877530079783086,-0.3012523551979972,-0.2681051724902289,-0.14091421524487666,-0.5272920095502395
