,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.05242880000000001,-0.06553600000000001,-0.2,0.0,-0.2,0.0,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.488,-0.67232
7,0.0,0.0,0.0,0.0,0.0,-0.2,-0.67232
8,-0.20732440196788854,-0.2159563843328411,-0.16592420439226074,-0.1585609189386841,-0.18816298819843436,-0.21208187516545796,-0.2237502387235553
