,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,0.0,-0.2,-0.488,-0.2,-0.2,-0.931280523264
1,0.0,0.0,0.0,-0.36000000000000004,0.0,0.0,-0.7902848
2,-0.00012676506002282299,-0.00015845632502852874,-0.0028823037615171177,-0.026843545600000008,-0.021474836480000006,-0.026843545600000008,0.0
3,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.2,-0.2,-0.2,0.0,-0.83222784,-0.9999455548212925
7,0.0,0.0,0.0,0.0,0.0,-0.5904,-0.9907766279631451
8,-0.2634648895549436,-0.32126516311308084,-0.5029212391418736,-0.2854620099851233,-0.2716520405279618,-0.28882615663476824,-0.36319985347041317
