,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,-1.0,0.0
1,-1.0,-1.0,0.0,0.0,0.0
2,0.0,0.0,0.0,-1.0,0.0
3,0.0,0.0,-1.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,-3.591,-2.862,-2.71,-1.0,-3.6558
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,-2.71,-2.71,-4.0951,0.0,-2.71
13,0.0,0.0,0.0,0.0,0.0
14,1.7913546013068982,1.184609451647821,1.9002758603597323,1.674727133830655,2.4121220385869475
15,1.4417249788053645,1.7877177426829267,2.8286417933968093,2.0494912788334596,1.9828130604027752
16,21.7076841391887,19.09829788751954,24.555640771442672,41.082979751618296,24.511627676224354
17,12.574922990604918,28.95867809473752,11.367217802086262,19.564388662228,7.048175867678898
18,0.0,-1.0,0.0,-1.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.17317087724498126,0.31064568527616204,0.17970745970008162,0.9963432462510202
21,0.0,0.0,0.0,0.0,0.29404
22,0.0,0.0,0.10800000000000001,0.0,0.1
23,0.5531396804101504,0.6217202552218559,0.521715472528993,1.31366910306303,0.573703444613187
24,0.0,0.0,0.0,0.0,-1.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.14702,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,-1.0,0.0,0.0,-1.9,0.0
