,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,-1.0,-1.0,-1.9,0.0
3,-1.0,-1.0,-1.0,-1.0,0.0
4,0.0,-1.0,0.0,0.0,0.0
5,-1.9,0.0,0.0,-4.68559,0.0
6,-3.6558,-4.8375900000000005,-4.3119000000000005,-1.0,-6.453403110000001
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,-1.0,0.0,-1.0,0.0,-3.439
13,0.0,0.0,0.0,0.0,0.0
14,0.3772321244790745,0.4462489697990399,0.2639507909672858,0.0,1.23179029262549
15,0.0,0.15969479096728578,0.7715467324154884,0.30342010283784293,0.746184887091072
16,0.27491737600000005,1.2697368419872002,0.8127387712000002,2.1864672,1.3287693490912003
17,42.630898147676064,54.26256372930801,42.93451541355288,42.357587745528384,42.52258678216142
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.1866291253007769,0.10864000000000001,1.082864066259711,0.0,0.5481305262991285
21,0.0,0.385261161966278,1.5411789154167228,0.1401851355291648,0.1
22,0.0,0.1,1.5299979198442801,0.0,0.40153169155279156
23,4.08342234024326,4.985647063303266,4.996009152872434,4.872278645073274,4.837337551237665
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.110048,0.0,0.099
27,0.0,0.0,0.15784704000000002,0.0,0.099
28,0.0,0.0,0.0,0.0,0.14702
29,1.5407426511398523,1.8139450272609834,2.1828017428355464,1.5453195780933051,2.2661322579752925
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,-2.71
32,0.0,0.0,0.0,0.0,-1.9
33,0.0,0.0,0.0,0.0,-4.0951
34,0.0,0.0,0.0,0.0,-5.217031
35,-1.9,-2.71,-1.0,-6.12579511,-7.7923207545038995
