,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-1.917695671702506,-1.8495886972690765,-2.0775452047226577,-2.3063682725236143,-1.8827501173889674,-1.952019070312791,-2.2912646464049153
1,-0.624380026159104,-0.740137030554747,-0.45651178383474694,-0.41451861835776005,-0.71824218683605,-0.8951293073794008,-0.7319320643075383
2,-0.272896847718586,-0.2802103033525384,-0.3240290966376763,-0.22829940959720185,-0.2621932596180725,-0.3745261448680203,-0.18626433183321392
3,0.0,0.0,0.0,0.0,0.0,-0.128,-0.069608669184
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.3017305718574388,-0.33287346137900087,-0.4363817965057798,-0.40846294235098557,-0.2956976063666532,-0.04628511958843385,-0.26534694969957373
