,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-2.2349061030872166,-2.229534473778425,-2.1838929321068874,-2.531725562535331,-2.213131859957273,-2.1753193716872503,-2.4107849026842874
1,-0.6288800196745268,-0.740137030554747,-0.780472460877432,-0.4366963180771643,-0.5931099856542056,-0.7824264248407622,-0.8134420837401443
2,-0.4895597116105974,-0.47279271708759707,-0.5447505983823127,-0.5159300632250554,-0.5771766535621011,-0.5805465226681582,-0.2856220718239219
3,0.0,0.0,-0.2,0.0,-0.2,-0.24192,-0.022809368718213117
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.5184546954217896,-0.5037274433933645,-0.49613277752059864,-0.5139073999362864,-0.4676811507766685,-0.2805060293994161,-0.5120366622140292
