,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,-0.16,-0.2,0.0,-0.36000000000000004,-0.2,0.0
1,0.0,0.0,-0.2,0.0,-0.2,-0.28800000000000003,-0.44192
2,-0.31345131761116024,-0.1832930180590089,-0.176298055519232,-0.3323913511402413,-0.1447134625792,-0.2243865936289469,-0.3058649835082781
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.14915776057763322,-0.10706154678441454,-0.08940942747438818,-0.38372999427909116,-0.15116157116690732,-0.25252100015165085,-0.04770329860450998
