,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-2.3295419539312454,-2.252219529551268,-2.296537214822612,-2.699072279736301,-2.213131859957273,-2.2883065968197602,-2.4506798479499983
1,-0.6288800196745268,-0.6619810353361439,-0.780472460877432,-0.4366963180771643,-0.5931099856542056,-0.7824264248407622,-0.6418462824541693
2,-0.4895597116105974,-0.42210572390223206,-0.4762324993998036,-0.368933153405675,-0.5056128730818353,-0.5805465226681582,-0.25270012933720937
3,0.0,0.0,-0.2,0.0,-0.2,-0.24192,-0.014597995979656395
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.5184546954217896,-0.44771199117191873,-0.4145199918144076,-0.2789512179428434,-0.3201506884392539,-0.33119213698769556,-0.22275069392914099
