,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,0.0,-0.16,-0.2,-0.2,-0.4304,-0.2,0.0
1,-0.2,-0.2,-0.2,-0.2,-0.32000000000000006,-0.28800000000000003,-0.44192
2,-0.5391732539837613,-0.52889833789612,-0.30840725059504004,-0.23681655227051387,-0.3027905745857973,-0.318726774255141,-0.2880557197971093
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.32110139222027434,-0.2447247895026164,-0.26621543759213473,-0.38058092335136146,-0.3032666473041568,-0.1893238283257423,-0.3218423572332363
