,FORWARD_AND_TURN_VERYHARD_LEFT,FORWARD_AND_TURN_HARD_LEFT,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_TURN_HARD_RIGHT,FORWARD_AND_TURN_VERYHARD_RIGHT
0,-2.518528539118973,-2.457044812674295,-2.4046757262297076,-2.914946831059152,-2.431622322136623,-2.3967743329469697,-2.8665525430870713
1,-0.6288800196745268,-0.5466415457856616,-0.6942493795942919,-0.41922846535407776,-0.7443593994157107,-0.6958125507649561,-0.5860551033928664
2,-0.5345232402825183,-0.42109155860923536,-0.47275604376359703,-0.5056972647218566,-0.4214851396248843,-0.3995148483169606,-0.3725705688736414
3,0.0,0.0,-0.16,0.0,-0.128,-0.24192,-0.13547417394158406
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.5558247774503872,-0.4942363429733805,-0.5516331589804019,-0.46261701517833315,-0.5504484392198988,-0.32737846487243344,-0.5232427838458646
