,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-163.39481267008603,-120.98240214473262,-98.58768777987225,-163.68282348208638,-117.01364497139662
4,29.99999999999985,29.99999999999985,29.99999999999982,49.99999999999983,29.99999999999985
5,49.99999999999983,29.99999999999985,29.99999999999985,29.99999999999985,29.99999999999985
6,0.0,0.0,0.0,-10.0,-10.0
7,29.999958653624343,29.999999999999837,29.99999999995873,49.99999999999983,29.999995130975893
8,29.99999999999985,49.99999999999983,29.99999999999985,29.99999999999985,29.99999999999985
9,0.0,0.0,-10.0,-10.0,0.0
10,29.999999999976954,29.99999999999985,29.99999999999985,49.99999999999983,29.99999999999985
11,29.99999999999985,29.99999999999985,49.99999999999983,29.99999999999985,29.99999999999985
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,-10.0
14,0.0,0.0,-10.0,0.0,0.0
15,-10.0,-10.0,0.0,0.0,-34.39
16,0.0,0.0,0.0,0.0,-10.0
17,-64.224631,-29.340000000000003,-79.861924567,-54.27823600000001,-89.60195859052781
18,-10.0,-10.0,0.0,0.0,-19.0
19,4.970954577929651,5.340079053428472,12.092523065229154,2.623402806216693,29.02551727022983
20,29.999999491811433,34.9999999952285,39.99999999987319,19.999999965941495,49.99999999994931
21,-19.0,0.0,-10.0,0.0,-34.39
22,0.0,-0.798,0.0,-5.42,1.0
23,29.99999917288146,34.99999916621821,39.99384135761541,19.99991175532076,49.99999939061709
24,-1.99722592,0.0,0.6639904765440001,-1.7647680000000001,8.312611893492507
25,29.99999999999985,34.99999999999983,39.99999999999983,19.99999999999985,49.99999999999983
